"","beta","rho","v_shed","v_reduced_shed","reduced_shed","v_susc","v_Ab_susc","set","coverage","persistence"
"265",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0",100
"266",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.4",100
"267",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.5",100
"268",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.6",100
"269",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.7",100
"270",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.8",100
"271",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"0.9",100
"272",0.25,0.000277777777777778,1,0.0015,0.01,1,0.5,34,"1",100
"273",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0",100
"274",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.4",100
"275",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.5",100
"276",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.6",100
"277",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.7",100
"278",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.8",100
"279",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"0.9",100
"280",0.5,0.000277777777777778,1,0.0015,0.01,1,0.5,35,"1",100
"281",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0",100
"282",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.4",100
"283",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.5",100
"284",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.6",100
"285",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.7",100
"286",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.8",100
"287",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"0.9",100
"288",1,0.000277777777777778,1,0.0015,0.01,1,0.5,36,"1",100
"289",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0",100
"290",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.4",100
"291",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.5",100
"292",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.6",100
"293",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.7",100
"294",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.8",100
"295",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"0.9",100
"296",0.125,0.00277777777777778,0.5,0.33,0.5,1,0.75,37,"1",100
"297",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0",100
"298",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.4",100
"299",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.5",100
"300",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.6",100
"301",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.7",100
"302",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.8",100
"303",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"0.9",100
"304",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,38,"1",100
"305",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0",100
"306",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.4",100
"307",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.5",100
"308",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.6",100
"309",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.7",100
"310",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.8",100
"311",0.214285714285714,0.00277777777777778,0.5,0.33,0.5,1,0.75,39,"0.9",100
